break down, 故障する 
carry on, ～ を続ける 
go by, 通り過ぎる 
hold on, 待つ 
turn out, ～ となる 
bring up, ～ を育てる 
blow out, ～ 吹き消す 
hand in, ～ を提出する 
make out, 理解する 
put off, ～ を延期する 
take off, 急いで立ち去る 
turn on[off], 電灯など を付ける/消す 
catch up with, ～ に追いつく 
do away with, ～ を廃止する 
face up to, ～ を直視する 
look down on, ～ を軽蔑する 
look forward to, ～ を楽しみにして待つ 
look up to, ～ を尊敬する 
make away with, ～ を盗む 
make up for, ～ を埋め合わせる 
put up with, ～ を我慢する 
think highly of, ～ を尊重する 
run out of, ～ を使い果たす 
break into, ～ に侵入する 
come across, ～ を横切る 
deal with, 扱う 
depend on, 依存する 
get over, ～ を乗り越える 
hear from, ～ から便りがある 
hear of, 耳に入る 
laugh at, ～ を見て笑う 
look after, ～ の後を見送る 
look at, ～ を見る 
look for, ～ を探す 
rely on, 依存する 
stand for, ～ を表す 
think of, ～ のことを考える 
find fault with, ～ のあらを探す 
get rid of, ～ を免れる 
lose sight of, ～ を見失う 
make use of, ～ を利用する 
pay attention to, 注意を払う 
take advantage of, ～ を利用する 
take care of, ～ を世話する 
take part in, ～ に加わる 
take pride in, ～ を自慢する 
get out,〜を呼び出す/大声で叫ぶ
get back,戻る、取り戻す
get down,降りる、とりかかる
get off,休む、（仕事場などから）離れる
get up,起きる、起き上がる
call out,〜を呼び出す/大声で叫ぶ
call for,要求する、訴える
call on,訪問する
come on,急いで！
come out,姿を現す、（太陽などが）現れる
come down,（雨などが）降る
come up,（物事が）起きる、(つかつかと)やって来る
take over,引き継ぐ、引き取る
take off,離陸する、（服等を）脱ぐ
take on,雇う、（仕事などを）引き受ける
take up,〜を取り上げる、（趣味などを）はじめる
go out,外へ出る、〜出ていく、（恋人として）付き合う
go ahead,（物事が）進行する
go along,沿って行く、（物事が）進行する
go into,（職に）就く
hold on,(ちょっと)待つ、持続する
hold up,（手などを）あげる、誰か（何か）につかまる
hold out,（手を）伸ばす
keep out,〜を締め出す
keep on,遅れずについていく
keep up,同じことを繰り返し話す、〜し続ける
turn out,～だとわかる、（物事が）うまくいく
turn on,（照明などを）つける、能力を発揮する
turn up,（音量などを）上げる、出席する（現れる）
turn down,（音量などを）下げる、却下する



一時的,@
so far,これまでのところ
underway,進行中
presence,出席、面前
Barring,…を除いて、…がなければ
relentless,容赦ない、執拗な
flawless,完璧
decent,ちゃんとした、ちゃんとした
utterly,まったく
barely,やっと、かろうじて
farewell,別れ
accelerate,加速する
verbally,口頭で
purposely,わざと、故意に
spared,惜しまない
sorely,ひどく、きわめて
dispel,払いのける
dub,吹き替える、つつく、たたく
deter,抑止する、やめさせる
candidate,候補者
flawed,欠陥がある、傷ついた
spoiler,ネタバレ、妨害［阻止］する人
even if,もしそれでも、たとえ
insult,侮辱
rot,腐敗する、腐る
grave,墓
thus,したがって、こうして
properly,ちゃんと、正しく
concede,敗北を認める、真実と認める、ゴールを認める
surrender,(要求・強制によって)(…を)(…に)引き渡す、明け渡す、降参する
intense,集中
leaky,漏れる
certain,ある…，確信している
party,政党，当事者
indeed,確かに
locate,特定する
pant,息切れする
lean,かがむ
cast,投げる
stir,かき回す
bid,入札する
本から,@@@@@
vary,変わる、異なる、変化を与える
diverse,様々な、異なった
sophisticated,精巧な、洗礼された
sophisticated,精巧な、洗礼された
purify,浄化する
ample,十分な、広大な
priest,司祭、聖職者
beneath,の下に
profound,深遠な、心の底から
distinct,明瞭な、異なった
instinct,本能、天性
conduct,行為、管理、導く
exhibit,示す、展示する(いぐぜぃびっと)
discipline,訓練する、しつける
サイトから,@@@@@
cop,警察官
enforcement,執行
implication,含み
duty,職務
infection,感染
embrace,抱きしめる
dwell,住む
pregnat,妊娠した
vulnerable,傷つきやすい
funeral,葬式
ritual,儀式
load,積む
elaborate,手の込んだ
inclined,傾いた
conducted,導かれた
boulevard,大通り、ブールバール
placid,穏やかな
audit,監査
prohibit,禁止する
designate,選定する
indemnity,補償
consignment,委託
accession,接近，加盟
convergence,収束、一点に集まること、集合
