第一文型でstayとarriveの後にくる前置詞,at
第一文型のdepartの意味,出発する
lookの一と二文型の違い,「～を見る(１文型)」はlook at～で、lookだけだと「～のように見える」
第三文型のthat節で使う(～ということを述べる)の意味の単語,state
第三文型のthat節で使う(～ということを予言する)の意味の単語,predict
第三文型のthat節で使う(～ということを結論づける)の意味の単語,conclude
第4文型から第3文型に変換するときとtoやforを使わない「ask」がとる前置詞と意味,of(O1にO2を尋ねる（頼む）)
第五文型のappointの意味,任命する
第五文型の使役動詞３つ,make・have(OをCの状態にする、SはOにCしてもらう、させる)・let
第五文型の知覚動詞３つ,see(Oがであるのを見る)・hear・feel
2文型 I will keep warking, (私は、歩き続けるつもりです。) S keep ～ingは第２文型で、「Sが～し続ける」
3文型 He is keeping the ball, (彼は、そのボールを保持している。) ～を保持する
4文型 I will keep him a seat, (私は、彼に席を取っておくつもりです。) ～に…を取っておく（残しておく）
5文型 We keep the door open, (私達は、そのドアを開けたままにしておきます。) ～を…のままにしておく
1文型 He left for Paris, (彼は、パリに向けて出発しました。) ～へ向けて出発する
3文型 He left Japan, (彼は、日本を出発しました。) ～を出発する/～を残す
4文型 He left his son a big house, (彼は、彼の息子に大きな家を残しました。) ～に…を残す
5文型 He left the window open, (彼は、その窓を開けっ放しにしておいた。) ～を…のままにしておく
量が「ほとんどない」ことを表すfewとlittleの違い,fewは数えられる名詞、littleは数えられない名詞
量が「ほとんどない」ことを表すfewとlittleにaが付くと,a fewとa littleは「少しいる（ある）」
be動詞とgoの違い,be動詞は状態、goは動作。
時制の一致とは,that節の動詞とその文の動詞の時世はそろえる。
不変の真理(地理や計算とか)と諺の時制は？,現在形、時制の一致もない。
往来発着の動詞の４つと時制,go「行く」、come「来る」、leave「去る（発つ）」、arrive「到着する」確定した未来の予定は現在形。電車や飛行機の時間など。
時・条件の副詞節の中で未来の時制,現在形
whenの名詞節の時と副詞節の訳,名詞節「いつ～」副詞節「～時」
ifの名詞節の時と副詞節の訳,名詞節「～かどうか」副詞節「～もし」
be going toの否定文,be not going to
未来進行形とbe going to の違い,未来進行形(勉強することになるだろう、曖昧/やわらかい)とbe goint to(勉強する予定です、前もって決められた)の違い
haveとstandの状態と動作(進行形にできる)両方の意味,have(食べる[動作]/持つ)とstand(人が[動作]/物が)
確定した近い未来の予定の時制,確定した近い未来の予定は現在進行形 <> 確定した未来の予定は現在形。両方往来発着の動詞。
現在完了形の3つの意味,継続「（ずっと）～し続けている」経験「（今までに）～したことがある」完了・結果「～してしまった」「～し終えたところです」
完了形の完了・結果「～してしまった」「～し終えたところです」を見分ける3つの副詞,just・already、否定や疑問でyet(すでに、もう)を語尾に
「行ってきた」と往復で完了型(goは片道),have been to
canの４つの意味,「～できる」"「～の可能性がある」「～することがある」"「～してもよい？」「してくれませんか(依頼)」
訳さずにcannotと書いている場合のcanの意味,「～のはずがない」
現在形 be able toとcanの違い,canはカジュアル-be able toはフォーマル
過去形 be able toとcanの違い,be able toは1回のみできたになる。*否定文ならcouldも一回限りになる
未来系(will) be able toとcanの違い,canは使えない。助動詞は１つのみだから。
助動詞、完了形、不定詞、受動態のbe able to か canか,助動詞、完了形、不定詞の後ろはbe able to<>受動態の前ではcan
可能性・推量のmayとcanの違い,mayはかもしれないぐらい、canは能力があるから可能性がある
許可のcanとmayの違い,can対等、may目上の人に
mayの二つの意味,「～してもよい？」「～かもしれない」
mightとmayの程度,might「ひょっとしたら～かもしれない」可能性が低い
mustの二つの意味,「～しなければならない」「～違いない」
mustn'tとdon't have toの意味,mustの否定mustn'tは「～してはいけない」-don't have toは「～する必要はない」
wouldの3つの意味,「～だろう」「どうしても～しようとした(疑問文は使わない)」「よく～したものだ(否定文と疑問文で使わない)」
willとwouldの時制での違い,今からみた未来を表す場合はwill、過去のある時点からみた未来を表す場合はwouldを用います。
used toの二つの意味,「よく～したものだ」「以前～でした」
shouldの二つの意味,「～すべきだ」「～するはずだ」
ought toとshouldの違い,「～すべきだ」shouldは主観的、ought toは客観的
ought to否定形,ought not to
cannot have 過去分詞,「～だったはずがない」
