would rather ～ than …,…より～のほうがいい
cannot ～ too …,（どんなに）～してもしすぎることはない
cannot（help）but ～,～せずにはいられない
May S V,SがVしますように
would rather ～,むしろ～したい
too ～ to … ,あまりに（大変）～なので…できない
so ～ that … ,あまりに（すごく）～なので…
so as to,～するために
so to speak,いわば
strange to say,奇妙なことに
happen to ～,たまたま～する
learn to ～,～できるようになる
come[get] to ～,～するようになる
There is no ～ing,～することはできない
cannot（never） … without ～ing,…すれば必ず～する
on ～ing,～するとすぐに
in ～ing,～する時、～する場合
concerning ～ ,～に関して
considering ～ ,～のわりには
most of all,とりわけ
not any more than,ではない
at（the）best,せいぜい,どうよく見ても
do one's best,最善を尽くす
区切り,区切り
would like to ～,～したい
would like O to ～,Oに～して欲しい
would you like ～,～が欲しいですか
may[might] well ～,たぶん～するだろう、～するのももっともだ
may[might] as well ～,～するのも悪くない、～するほうがいいだろう
may[might] as well ～ as … ,…するくらいなら～するほうがましだ
be known to ～,に知られている
be caught in ～,～に降られる
be covered with ～,で覆われている
be filled with ～,～でいっぱいです
be satisfied with ～,に満足する
be pleased with ～,～に喜んでいる
be surprised at ～,～に驚く
be shocked at ～,～にショックを受ける
be disappointed at ～,～にがっかりする
be excited about ～,～に興奮する
be worried about ～,～を心配する
be interested in ～,に興味がある
begin to & start to,し始める(△することを始める)
try to,しようとする
need to,必要がある
It seems that ～,～のようです
It is said that ～,～と言われている
～ enough to … ,…するほど（十分）～だまたは & …してくれるとは～だ
to be sure,確かに
to tell the truth,実を言うと
to begin[start] with ,まず初めに
to be frank with you,率直に言えば
to make matters worse ,さらに悪いことに
seem to ～,～のようだ
appear to ～,～のように見える
feel like ～ing,～したい気がする、～したい気分だ
be worth ～ing,～する価値がある
cannot help ～ing,～せずにはいられない
It is no use ～ing,～しても無駄だ
Would（Do） you mind ～ing?,～してくれませんか
be busy （in） ～ing,～するのに忙しい
need ～ing,～する（される）必要がある
go ～ing,～しに行く 動名詞ではなく現在分詞の慣用表現
with＋名詞＋現在分詞,～しながら
with＋名詞＋過去分詞,～させながら
talking of ～ ,～と言えば
according to ～ ,～によれば
supposing ～ ,～と仮定すれば
strictly speaking ,厳密に言えば
frankly speaking ,率直に言えば
judging from ～ ,～から判断すれば
generally speaking ,一般的に言えば
what is called,いわゆる
what is better,さらに良いことには
what is worse,さらに悪いことには
what is more,さらに
what＋主語＋be動詞,今［昔］の～
A is to B what C is to D,AとBの関係はCとDの関係に等しい
If it were not for ～,もし～がなければ
If it had not been for ～,もし～がなかったら
if only＋仮定法過去,～しさえすればいいのに
as ～ as one can,できるだけ～
at（the）least,すくなくとも
at（the）earliest,早くとも
at last ,ついに
if S should do ,万一～なら…するだろう
if S were to do ,仮に～なら…するだろう
in your position,あなたの立場なら
To hear O speak[talk],Oが話すのを聞いたら
not as ～ as …,…ほど～でない
比較級 and 比較級,ますます（だんだん）～
The 比較級 ～  the 比較級 … ,～すればするほど、ますます…
no more than（only）～ ,～しか
no less than ～,～も
as much[many] as～,～も
more or less,多少
sooner or later,遅かれ早かれ
make the most(best) of ～ ,～を最もよく（最大限に）利用する
for the most part,大部分は
no more than,…でないのは…でないと同じ、たった…
most＋名詞 ,ほとんどの
prefer to（= better than）,…より～を好む
junior to（= younger than）,…より年下
senior to（= older than）,…より年上
superior to（= better than）,…より優れている
inferior to（= worse than）,…より劣っている
prior to … ,…より前に & …より先に
the＋分詞,～の人々
the＋形容詞,～の人々
not A but B,AでなくB
Hardly had S （過去分詞） when … ,「Sが～するやいなや…した。」「Sが～するが早いか…した。」
