CISC,遅いが複雑な処理。マイクロプログラム。命令の追加・変更が用意。機械語が楽。
RISC,単純、早い、均一。ワイヤードロジック。パイプラン処理に有効。
RAID0,ストライピング 高速化 ２台以上のディスクに分けて どれか壊れるとやばい
RAID1,ミラーリング 信頼性 2台以上に同じもの
RAID5,信頼性 3台以上 パリティを利用 0と1のデメリットを埋める
スワッピング,実行中のプログラムが何らかの理由で停止したりして待ち状態が長く続く場合、そのプログラムを実行中のまま補助記憶装置に移動し、別のプログラムを補助記憶装置から主記憶に戻す処理。プロセス単位。
ブロッキング,磁気ディスク装置(バリアブル方式)で複数の論理レコードを1つの物理レコードにまとめること。
スプーリング,出力データを補助ディスク装置に一度送り、そこから入出力装置にデータを転送する仕組み。CPUが低速な入出力装置の処理を待たなくて済みます。
ページング,仮想アドレス空間をページと呼ばれる固定長の長さに分割し、ページ単位でアドレス変換を行う仮想記憶方式。ページ単位。
エンタープライズアーキテクチャ, 上から下に調べていく
ビジネス・アーキテクチャー, 人・物・金・情報という部品の組み合わせとしての企業全体の可視化
データ・アーキテクチャー, データという部品の組み合わせとしての企業全体の可視化
アプリケーション・アーキテクチャー, 情報システムと機能という部品の組み合わせとしての企業全体の可視化
テクノロジー・アーキテクチャー, テクノロジー(ハードウェアやソフトウェア)という部品の組み合わせとしての企業全体の可視化
PDPC(Process Decision Program Chart),ある計画における目的達成のためにあらゆる事態を事前に想定し、計画の開始から最終結果に至る過程や手順を時間の推移に従って矢印で結合した図です。望ましい結果を得るための最適ルートを分析するために役立ちます。
OEM(Original Equipment Manufacturing), 他社製品の製造
ASP(Application Service Provider), インターネットを経由してソフトウェアやソフトウェア稼働環境を提供する事業者7
BPO(Business Process Outsourcing), 自社の業務の一部を、丸ごと外部の業者に委託すること
BPR(Business Process Reengineering), 組織全体を全面的に見直し設計しなおす
ERP(Enterprise Resources Planning ),基幹系情報システム 経営の資源要素（ヒト・モノ・カネ・情報）を適切に分配し有効活用する計画
MRP(Material Requirements Planning), 計画主導で必要なとき必要な分だけ＜＞JITは後工程主導
CRP(Continuous Replenishment Program),連続補充方式 消費者が購入した数量などに基づいて、必要在庫数量を算出し、自動的に補充
