be capable of ～ing,…できる
be about to …,今にも…しようとしている
be interested in ～,～に興味がある
be surprised at ～,～に驚く
be proud of ～,～のことを自慢に思う
take pride in ～,～のことを自慢に思う
be good at ～,～が上手である
be famous for ～,～で有名である
be different from ～,～と異なる
differ from ～,～と異なる
come from ～,～の出身である、～から来る
wait for ～,～を待つ
look for ～,～を探す
look at ～,～に注目する、～を見る
look like ～,～のように見える、～しそうである
look forward to ～,～を楽しみにして待つ
turn on ～,～（電気など）をつける
turn off ～,～（電気など）を消す
arrive at ～,～に到着する
think of ～,～のことを考える、～を思いつく
talk about ～,～について話す
speak to ～,～に話しかける
go to bed,寝る
fall asleep,眠る
have to …,…しなければならない
a few (～),少数の～、少し
a little (～),少量の～、少し
a lot of ～,たくさんの～
lots of ～,たくさんの～
more than ～,～より多くの
less than ～,～未満の
according to ～,～によれば、～に従って
all over (～),一面に、～の至る所に
for the first time,初めて
at first,最初は
at last,ついに、最終的に
after all,結局
at home,在宅して、くつろいで
at least,少なくとも
not less than,少なくとも
by the way,ところで
for example,例えば
for instance,例えば
every day,毎日
one day,ある日、いつか
some day,いつか
the other day,先日
in those days,その当時は
before long,間もなく、すぐに
so A that B,とてもAなのでB、BするほどとてもA
so as to …,…するために
not A but B,AではなくB
not only A but also B,AだけでなくBも
both A and B,AとBの両方
either A or B,AかBのどちらか一方
neither A nor B,AでもBでもない
take part in ～,～に参加する
participate in ～, ～に参加する
take care of ～,～の世話をする
look after ～,～の世話をする
care for ～,～の世話をする
take out ～,～を取り出す、～を連れ出す
take off (～),～を脱ぐ、離陸する
put on (～),（～を）身につける
go on,（先へ）進む
go on ～ing,～し続ける
keep on ～ing,～し続ける
go away,去る、逃げる
go back,戻る、帰る
come back,帰る、回復する
get back,元の場所へ戻る
run away,逃げ去る
get in,～～（車など）に乗る、～に入る
get on,～～（列車・バスなど）に乗る
get off ～,～から降りる
get out,外に出る、逃げる
hear from ～,～から便りがある
hear of ～,～のことを聞く
die of ～,～（病気・老齢など）で死ぬ
